1: min_energy: -2.0, max_energy: -2.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34605.9, 'qpu_access_overhead_time': 1233.1, 'qpu_programming_time': 10711.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 255.0, 'post_processing_overhead_time': 255.0}
2: min_energy: -2.0, max_energy: -2.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34609.1, 'qpu_access_overhead_time': 1743.9, 'qpu_programming_time': 10715.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 199.0, 'post_processing_overhead_time': 199.0}
3: min_energy: -10.0, max_energy: -10.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34625.1, 'qpu_access_overhead_time': 1245.9, 'qpu_programming_time': 10731.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 791.0, 'post_processing_overhead_time': 791.0}
4: min_energy: -6.0, max_energy: 12.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34627.5, 'qpu_access_overhead_time': 1221.5, 'qpu_programming_time': 10733.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1997.0, 'post_processing_overhead_time': 1997.0}
5: min_energy: -23.0, max_energy: -22.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34605.1, 'qpu_access_overhead_time': 1298.9, 'qpu_programming_time': 10711.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1961.0, 'post_processing_overhead_time': 1961.0}
6: min_energy: -22.0, max_energy: -21.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34621.5, 'qpu_access_overhead_time': 1524.5, 'qpu_programming_time': 10727.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3673.0, 'post_processing_overhead_time': 3673.0}
7: min_energy: -11.0, max_energy: 1.0, {'qpu_sampling_time': 24280.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 202.26, 'qpu_access_time': 35011.5, 'qpu_access_overhead_time': 1187.5, 'qpu_programming_time': 10731.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 523.0, 'post_processing_overhead_time': 523.0}
8: min_energy: -5.0, max_energy: 66.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34663.7, 'qpu_access_overhead_time': 1332.3, 'qpu_programming_time': 10769.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1629.0, 'post_processing_overhead_time': 1629.0}
9: min_energy: -1.0, max_energy: 44.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34671.3, 'qpu_access_overhead_time': 1227.7, 'qpu_programming_time': 10777.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 453.0, 'post_processing_overhead_time': 453.0}
10: min_energy: -1.0, max_energy: 47.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34693.5, 'qpu_access_overhead_time': 1420.5, 'qpu_programming_time': 10799.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 974.0, 'post_processing_overhead_time': 974.0}
11: min_energy: -40.0, max_energy: -39.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34605.9, 'qpu_access_overhead_time': 1291.1, 'qpu_programming_time': 10711.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1908.0, 'post_processing_overhead_time': 1908.0}
12: min_energy: 2.0, max_energy: 172.0, {'qpu_sampling_time': 24316.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 202.62, 'qpu_access_time': 35100.3, 'qpu_access_overhead_time': 1392.7, 'qpu_programming_time': 10784.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1998.0, 'post_processing_overhead_time': 1998.0}
13: min_energy: 8.0, max_energy: 61.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34654.7, 'qpu_access_overhead_time': 1133.3, 'qpu_programming_time': 10760.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1995.0, 'post_processing_overhead_time': 1995.0}
14: min_energy: -4.0, max_energy: 60.0, {'qpu_sampling_time': 24254.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 202.0, 'qpu_access_time': 35042.5, 'qpu_access_overhead_time': 1954.5, 'qpu_programming_time': 10788.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2034.0, 'post_processing_overhead_time': 2034.0}
15: min_energy: 5.0, max_energy: 194.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34705.7, 'qpu_access_overhead_time': 1066.3, 'qpu_programming_time': 10811.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1933.0, 'post_processing_overhead_time': 1933.0}
16: min_energy: 9.0, max_energy: 104.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34761.5, 'qpu_access_overhead_time': 1294.5, 'qpu_programming_time': 10867.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1933.0, 'post_processing_overhead_time': 1933.0}
17: min_energy: 3.0, max_energy: 250.0, {'qpu_sampling_time': 24440.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.86, 'qpu_access_time': 35262.7, 'qpu_access_overhead_time': 1431.3, 'qpu_programming_time': 10822.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1975.0, 'post_processing_overhead_time': 1975.0}
