1: min_energy: -2.0, max_energy: -2.0, {'qpu_sampling_time': 7338.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 32.84, 'qpu_access_time': 22405.16, 'qpu_access_overhead_time': 10288.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1939.0, 'post_processing_overhead_time': 1939.0}
2: min_energy: -4.0, max_energy: -4.0, {'qpu_sampling_time': 8142.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 40.88, 'qpu_access_time': 23209.16, 'qpu_access_overhead_time': 1539.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1927.0, 'post_processing_overhead_time': 1927.0}
3: min_energy: -7.0, max_energy: -7.0, {'qpu_sampling_time': 9532.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 54.78, 'qpu_access_time': 24599.16, 'qpu_access_overhead_time': 4975.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 523.0, 'post_processing_overhead_time': 523.0}
4: min_energy: -10.0, max_energy: -10.0, {'qpu_sampling_time': 11404.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 73.5, 'qpu_access_time': 26471.16, 'qpu_access_overhead_time': 3461.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1974.0, 'post_processing_overhead_time': 1974.0}
5: min_energy: -6.0, max_energy: -4.0, {'qpu_sampling_time': 10464.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 64.1, 'qpu_access_time': 25531.56, 'qpu_access_overhead_time': 1719.44, 'qpu_programming_time': 15067.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1135.0, 'post_processing_overhead_time': 1135.0}
6: min_energy: -12.0, max_energy: -11.0, {'qpu_sampling_time': 10230.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 61.76, 'qpu_access_time': 25297.16, 'qpu_access_overhead_time': 5774.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 275.0, 'post_processing_overhead_time': 275.0}
7: min_energy: -8.0, max_energy: 21.0, {'qpu_sampling_time': 11346.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 72.92, 'qpu_access_time': 26413.16, 'qpu_access_overhead_time': 3930.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 363.0, 'post_processing_overhead_time': 363.0}
8: min_energy: -1.0, max_energy: 52.0, {'qpu_sampling_time': 10886.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 68.32, 'qpu_access_time': 25953.16, 'qpu_access_overhead_time': 4170.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 353.0, 'post_processing_overhead_time': 353.0}
9: min_energy: -2.0, max_energy: 56.0, {'qpu_sampling_time': 12008.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 79.54, 'qpu_access_time': 27074.76, 'qpu_access_overhead_time': 9248.24, 'qpu_programming_time': 15066.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 442.0, 'post_processing_overhead_time': 442.0}
10: min_energy: 3.0, max_energy: 46.0, {'qpu_sampling_time': 13084.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 90.3, 'qpu_access_time': 28151.16, 'qpu_access_overhead_time': 6901.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 324.0, 'post_processing_overhead_time': 324.0}
11: min_energy: 1.0, max_energy: 261.0, {'qpu_sampling_time': 10712.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 66.58, 'qpu_access_time': 25778.36, 'qpu_access_overhead_time': 5293.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1914.0, 'post_processing_overhead_time': 1914.0}
12: min_energy: -11.0, max_energy: 23.0, {'qpu_sampling_time': 11532.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 74.78, 'qpu_access_time': 26599.16, 'qpu_access_overhead_time': 4995.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 418.0, 'post_processing_overhead_time': 418.0}
13: min_energy: -11.0, max_energy: 42.0, {'qpu_sampling_time': 12366.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 83.12, 'qpu_access_time': 27433.56, 'qpu_access_overhead_time': 3574.44, 'qpu_programming_time': 15067.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1040.0, 'post_processing_overhead_time': 1040.0}
