1: min_energy: 0.0, max_energy: 0.0, {'qpu_sampling_time': 7178.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 31.24, 'qpu_access_time': 22248.36, 'qpu_access_overhead_time': 6101.64, 'qpu_programming_time': 15070.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1836.0, 'post_processing_overhead_time': 1836.0}
2: min_energy: -5.0, max_energy: -3.0, {'qpu_sampling_time': 7400.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 33.46, 'qpu_access_time': 22470.36, 'qpu_access_overhead_time': 2060.64, 'qpu_programming_time': 15070.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1985.0, 'post_processing_overhead_time': 1985.0}
3: min_energy: -5.0, max_energy: -5.0, {'qpu_sampling_time': 8196.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 41.42, 'qpu_access_time': 23261.96, 'qpu_access_overhead_time': 3759.04, 'qpu_programming_time': 15065.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3667.0, 'post_processing_overhead_time': 3667.0}
4: min_energy: -7.0, max_energy: -6.0, {'qpu_sampling_time': 9098.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 50.44, 'qpu_access_time': 24168.36, 'qpu_access_overhead_time': 6267.64, 'qpu_programming_time': 15070.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3706.0, 'post_processing_overhead_time': 3706.0}
5: min_energy: -5.0, max_energy: -4.0, {'qpu_sampling_time': 9968.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 59.14, 'qpu_access_time': 25034.76, 'qpu_access_overhead_time': 5683.24, 'qpu_programming_time': 15066.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 403.0, 'post_processing_overhead_time': 403.0}
6: min_energy: -13.0, max_energy: -12.0, {'qpu_sampling_time': 10150.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 60.96, 'qpu_access_time': 25216.36, 'qpu_access_overhead_time': 4237.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 409.0, 'post_processing_overhead_time': 409.0}
7: min_energy: -3.0, max_energy: 53.0, {'qpu_sampling_time': 11080.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 70.26, 'qpu_access_time': 26146.36, 'qpu_access_overhead_time': 1748.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 491.0, 'post_processing_overhead_time': 491.0}
8: min_energy: -1.0, max_energy: 63.0, {'qpu_sampling_time': 12374.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 83.2, 'qpu_access_time': 27440.36, 'qpu_access_overhead_time': 4618.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 562.0, 'post_processing_overhead_time': 562.0}
9: min_energy: 3.0, max_energy: 164.0, {'qpu_sampling_time': 11756.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 77.02, 'qpu_access_time': 26826.36, 'qpu_access_overhead_time': 6000.64, 'qpu_programming_time': 15070.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 409.0, 'post_processing_overhead_time': 409.0}
10: min_energy: -35.0, max_energy: -33.0, {'qpu_sampling_time': 10934.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 68.8, 'qpu_access_time': 26004.36, 'qpu_access_overhead_time': 2071.64, 'qpu_programming_time': 15070.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 455.0, 'post_processing_overhead_time': 455.0}
11: min_energy: 3.0, max_energy: 257.0, {'qpu_sampling_time': 10894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 68.4, 'qpu_access_time': 25964.36, 'qpu_access_overhead_time': 2015.64, 'qpu_programming_time': 15070.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 589.0, 'post_processing_overhead_time': 589.0}
